[<_MainThread(MainThread, started 37472)>]
stream closed? idk girl
Listening (audio thread)...
         340212 function calls (315214 primitive calls) in 22.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1950    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1434    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
  552/311    0.000    0.000    0.001    0.000 typing.py:1600(__hash__)
      566    0.000    0.000    0.001    0.000 typing.py:1205(__getattr__)
      393    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      377    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      781    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1404    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     2377    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      163    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
       97    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
      605    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
2306/1494    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      352    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
      816    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
     2373    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      151    0.000    0.000    0.004    0.000 typing.py:1476(__getitem__)
     1471    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     2113    0.000    0.000    0.001    0.000 _parser.py:256(match)
      435    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       10    0.000    0.000    0.003    0.000 enum.py:913(_convert_)
     1310    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      483    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
       49    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
      755    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
      178    0.000    0.000    0.001    0.000 enum.py:1556(__and__)
       14    0.000    0.000    0.003    0.000 rules.py:740(_compile_builder)
     2664    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       69    0.000    0.000    0.001    0.000 nodes.py:59(__new__)
     2664    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       89    0.000    0.000    0.002    0.000 _compiler.py:516(_compile_info)
     1471    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      377    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      325    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      419    0.000    0.000    0.001    0.000 {built-in method fromkeys}
       89    0.000    0.000    0.021    0.000 _compiler.py:745(compile)
      377    0.000    0.000    0.001    0.000 __init__.py:102(find_spec)
      325    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       45    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     1634    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      381    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
       10    0.000    0.000    0.001    0.000 typing.py:2814(__new__)
      353    0.000    0.000    0.000    0.000 enum.py:844(__setattr__)
      908    0.000    0.000    0.003    0.000 typing.py:730(<genexpr>)
       56    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
        3    0.000    0.000    0.014    0.005 core.py:1(<module>)
       68    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      351    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1085    0.000    0.000    0.000    0.000 _parser.py:176(append)
   409/18    0.000    0.000    0.233    0.013 {built-in method builtins.__import__}
      441    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       85    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
      913    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
      383    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      517    0.000    0.000    0.002    0.000 ast.py:369(walk)
        8    0.000    0.000    0.005    0.001 dataclasses.py:921(_process_class)
      689    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       82    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.027    0.027 environment.py:1(<module>)
     1388    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      358    0.000    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      816    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      325    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        6    0.000    0.000    0.020    0.003 utils.py:1(<module>)
       89    0.000    0.000    0.012    0.000 _parser.py:969(parse)
      427    0.000    0.000    0.000    0.000 typing.py:2344(get_origin)
     1544    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
     1651    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       85    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
     1135    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      149    0.000    0.000    0.000    0.000 typing.py:1640(__hash__)
      228    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
     1134    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      677    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
     1889    0.000    0.000    0.000    0.000 typing.py:1630(<genexpr>)
       27    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      567    0.000    0.000    0.000    0.000 enum.py:1538(_get_value)
        1    0.000    0.000    0.290    0.290 sounddevice.py:2731(_wrap_callback)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      804    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      197    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
     1745    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      572    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       85    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
      575    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      190    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      195    0.000    0.000    0.003    0.000 typing.py:1485(copy_with)
      828    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      816    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       43    0.000    0.000    0.002    0.000 typing.py:753(Literal)
     1262    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
     1154    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      671    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      115    0.000    0.000    0.002    0.000 typing.py:892(__init__)
      170    0.000    0.000    0.000    0.000 _ufunc_config.py:452(_no_nep50_warning)
        1    0.000    0.000    0.000    0.000 sounddevice.py:1114(start)
      508    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      381    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      359    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      717    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      210    0.000    0.000    0.000    0.000 enum.py:720(__call__)
       42    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
    49/13    0.000    0.000    0.002    0.000 typing.py:1355(_make_substitution)
      484    0.000    0.000    0.001    0.000 {method 'extend' of 'collections.deque' objects}
      330    0.000    0.000    0.001    0.000 typing.py:1481(<genexpr>)
  358/258    0.000    0.000    0.013    0.000 typing.py:515(__getitem__)
       44    0.000    0.000    0.001    0.000 typing.py:1575(__getitem__)
      989    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        1    0.000    0.000    0.004    0.004 filters.py:1(<module>)
      108    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       41    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
      726    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      100    0.000    0.000    0.005    0.000 typing.py:747(Optional)
      399    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      330    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       89    0.000    0.000    0.008    0.000 _compiler.py:578(_code)
       39    0.000    0.000    0.003    0.000 dataclasses.py:449(_create_fn)
       85    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
       85    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      377    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      135    0.000    0.000    0.002    0.000 typing.py:1546(__getitem__)
       35    0.000    0.000    0.001    0.000 typing.py:1123(_generic_init_subclass)
